fice,fice_combined,year,hbcu_flag,has_med_sch_flag,hhe_flag,toi_code,hdg_code,toc_code,pilot_fy09_flag,inst_name_long,inst_city,inst_state,inst_zip,line,data1,status1,data2,status2,data3,status3,data4,status4,data5,status5,data6,status6,data7,status7,data8,status8,data9,status9
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1100,43231,,,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1110,41207,,,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1125,507,,,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1150,181,,,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1160,1336,,,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1400,43231,,41207,,0,,83,,2402,,38722,,0,,0,,0,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1450,43231,,41207,,0,,83,,2402,,38722,,0,,0,,0,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1453,43231,,41207,,0,,83,,2402,,38722,,0,,0,,0,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1600,4200,,4000,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1610,2700,,2500,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1620,1500,,1500,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1800,43231,,41207,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1850,43231,,41207,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1853,43231,,41207,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1900,1300,,1300,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1910,700,,700,,,,,,,,,,,,,,,
000166,000000,2005,F,T,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1920,600,,600,,,,,,,,,,,,,,,
001002,000000,2005,T,F,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1100,16075,,,,,,,,,,,,,,,,,
001002,000000,2005,T,F,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1110,12005,,,,,,,,,,,,,,,,,
001002,000000,2005,T,F,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1125,1735,,,,,,,,,,,,,,,,,
001002,000000,2005,T,F,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1150,135,,,,,,,,,,,,,,,,,
001002,000000,2005,T,F,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1160,1521,,,,,,,,,,,,,,,,,
001002,000000,2005,T,F,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1175,679,,,,,,,,,,,,,,,,,
001002,000000,2005,T,F,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1400,16075,,12005,,6813,,701,,160,,632,,1872,,1824,,3,
001002,000000,2005,T,F,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1410,772,,735,,0,,187,,91,,15,,50,,392,,0,
001002,000000,2005,T,F,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1414,553,,553,,0,,187,,0,,0,,50,,316,,0,
001002,000000,2005,T,F,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1415,76,,76,,0,,0,,0,,0,,0,,76,,0,
001002,000000,2005,T,F,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1416,143,,106,,0,,0,,91,,15,,0,,0,,0,
001002,000000,2005,T,F,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1420,2822,,2044,,0,,455,,18,,596,,423,,552,,0,
