fice,fice_combined,year,hbcu_flag,has_med_sch_flag,hhe_flag,toi_code,hdg_code,toc_code,pilot_fy09_flag,inst_name_long,inst_city,inst_state,inst_zip,line,data1,status1,data2,status2
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1100,48839,,,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1110,39259,,,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1125,6629,,,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1150,2941,,,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1160,10,,,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1400,48839,,39259,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1450,48839,,39259,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1453,48839,,39259,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1600,2184,,2184,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1610,2184,,2184,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1800,743,,743,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1850,743,,743,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1853,743,,743,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1900,956,,956,
000166,000000,2002,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1910,956,,956,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1100,15717,,,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1110,10710,,,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1125,2465,,,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1150,722,,,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1160,1820,,,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1400,15717,,10710,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1410,521,,504,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1413,154,,150,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1414,288,,286,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1415,27,,27,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1416,52,,41,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1420,2060,,1793,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1422,61,,61,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1423,1979,,1715,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1424,20,,17,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1441,583,,583,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1450,11063,,7830,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1451,9945,,7364,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1452,466,,466,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1454,652,,0,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1470,393,,0,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1471,19,,0,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1474,374,,0,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1480,1097,,0,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1600,3212,,957,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1610,2512,,895,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1620,700,,62,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1800,969,,927,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1810,18,,14,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1813,8,,7,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1814,3,,2,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1815,1,,0,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1816,6,,5,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1820,271,,252,
001002,000000,2002,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1823,271,,252,
