fice,fice_combined,year,hbcu_flag,has_med_sch_flag,hhe_flag,toi_code,hdg_code,toc_code,pilot_fy09_flag,inst_name_long,inst_city,inst_state,inst_zip,line,data1,status1,data2,status2,data3,status3,data4,status4,data5,status5,data6,status6,data7,status7,data8,status8,data9,status9
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1100,57604,,,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1110,53110,,,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1125,416,,,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1150,1078,,,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1160,3000,,,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1400,57604,,53110,,0,,169,,0,,52941,,0,,0,,0,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1450,57604,,53110,,0,,169,,0,,52941,,0,,0,,0,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1453,57604,,53110,,0,,169,,0,,52941,,0,,0,,0,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1600,1680,,1680,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1610,1200,,1200,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1620,480,,480,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1800,325,,310,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1850,325,,310,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1853,325,,310,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1900,5109,,5109,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1910,2356,,2356,,,,,,,,,,,,,,,
000166,000000,2009,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1920,2753,,2753,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1100,14752,,,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1110,10265,,,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1125,1426,,,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1150,170,,,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1160,711,,,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1175,2180,,,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1400,14752,,10265,,6295,,834,,215,,0,,150,,2631,,140,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1410,772,,772,,0,,492,,95,,0,,45,,0,,140,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1414,280,,280,,0,,186,,0,,0,,15,,0,,79,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1415,439,,439,,0,,306,,95,,0,,30,,0,,8,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1416,53,,53,,0,,0,,0,,0,,0,,0,,53,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1420,3202,,2202,,65,,225,,70,,0,,105,,1737,,0,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1422,15,,15,,0,,0,,0,,0,,15,,0,,0,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1423,3122,,2122,,0,,225,,70,,0,,90,,1737,,0,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1424,65,,65,,65,,0,,0,,0,,0,,0,,0,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1450,10071,,6585,,5525,,116,,50,,0,,0,,894,,0,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1451,10031,,6545,,5500,,101,,50,,0,,0,,894,,0,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1452,15,,15,,0,,15,,0,,0,,0,,0,,0,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1454,25,,25,,25,,0,,0,,0,,0,,0,,0,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1470,2,,1,,0,,1,,0,,0,,0,,0,,0,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1471,2,,1,,0,,1,,0,,0,,0,,0,,0,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1480,705,,705,,705,,0,,0,,0,,0,,0,,0,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1600,2701,,1457,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1610,1801,,956,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1620,900,,501,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1800,855,,835,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1810,232,,226,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1814,225,,220,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1815,7,,6,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1820,108,,102,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1822,3,,2,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1823,105,,100,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1850,515,,507,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1851,508,,500,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1852,7,,7,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1900,630,,590,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1910,130,,90,,,,,,,,,,,,,,,
001002,000000,2009,T,F,F,1,1,1,F,Alabama Agricultural and Mechanical University,Normal,AL,35762,1920,500,,500,,,,,,,,,,,,,,,
001005,000000,2009,T,F,F,1,1,1,F,Alabama State University,Montgomery,AL,36101,1100,17164,,,,,,,,,,,,,,,,,
001005,000000,2009,T,F,F,1,1,1,F,Alabama State University,Montgomery,AL,36101,1110,11117,,,,,,,,,,,,,,,,,
001005,000000,2009,T,F,F,1,1,1,F,Alabama State University,Montgomery,AL,36101,1125,3983,,,,,,,,,,,,,,,,,
001005,000000,2009,T,F,F,1,1,1,F,Alabama State University,Montgomery,AL,36101,1150,545,,,,,,,,,,,,,,,,,
001005,000000,2009,T,F,F,1,1,1,F,Alabama State University,Montgomery,AL,36101,1160,1519,,,,,,,,,,,,,,,,,
001005,000000,2009,T,F,F,1,1,1,F,Alabama State University,Montgomery,AL,36101,1400,17164,,11117,,0,,0,,8935,,961,,0,,1221,,0,
001005,000000,2009,T,F,F,1,1,1,F,Alabama State University,Montgomery,AL,36101,1450,17164,,11117,,0,,0,,8935,,961,,0,,1221,,0,
001005,000000,2009,T,F,F,1,1,1,F,Alabama State University,Montgomery,AL,36101,1452,17164,,11117,,0,,0,,8935,,961,,0,,1221,,0,
001005,000000,2009,T,F,F,1,1,1,F,Alabama State University,Montgomery,AL,36101,1800,1138,,1138,,,,,,,,,,,,,,,
001005,000000,2009,T,F,F,1,1,1,F,Alabama State University,Montgomery,AL,36101,1850,1138,,1138,,,,,,,,,,,,,,,
001005,000000,2009,T,F,F,1,1,1,F,Alabama State University,Montgomery,AL,36101,1852,1138,,1138,,,,,,,,,,,,,,,
