fice,fice_combined,year,hbcu_flag,has_med_sch_flag,hhe_flag,toi_code,hdg_code,toc_code,pilot_fy09_flag,inst_name_long,inst_city,inst_state,inst_zip,line,data1,status1,data2,status2,data3,status3,data4,status4,data5,status5,data6,status6,data7,status7,data8,status8,data9,status9
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1100,49224,,,,,,,,,,,,,,,,,
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1110,43291,,,,,,,,,,,,,,,,,
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1125,929,,,,,,,,,,,,,,,,,
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1150,556,,,,,,,,,,,,,,,,,
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1160,4448,,,,,,,,,,,,,,,,,
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1400,49224,,43291,,0,n,0,n,0,n,0,n,0,n,0,n,0,n
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1450,49224,,43291,,0,n,0,n,0,n,0,n,0,n,0,n,0,n
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1453,49224,,43291,,0,n,0,n,0,n,0,n,0,n,0,n,0,n
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1600,1812,,1812,,,,,,,,,,,,,,,
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1610,1255,,1255,,,,,,,,,,,,,,,
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1620,557,,557,,,,,,,,,,,,,,,
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1800,375,,361,,,,,,,,,,,,,,,
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1850,375,,361,,,,,,,,,,,,,,,
000166,000000,2008,F,T,T,1,2,2,F,Charles R. Drew University of Medicine and Science,Los Angeles,CA,90059,1853,375,,361,,,,,,,,,,,,,,,
