fice,fice_combined,year,hbcu_flag,has_med_sch_flag,hhe_flag,toi_code,hdg_code,toc_code,pilot_fy09_flag,inst_name_long,inst_city,inst_state,inst_zip,line,data1,status1,data2,status2
000166,000000,2000,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1100,31045,,,
000166,000000,2000,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1110,21969,,,
000166,000000,2000,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1125,7973,,,
000166,000000,2000,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1150,1103,,,
000166,000000,2000,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1400,31045,,21969,
000166,000000,2000,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1450,31045,,21969,
000166,000000,2000,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1453,31045,,21969,
000166,000000,2000,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1800,789,,789,
000166,000000,2000,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1850,789,,789,
000166,000000,2000,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1853,789,,789,
000166,000000,2000,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1900,1904,,0,
000166,000000,2000,F,N,N,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1910,1904,,0,
001002,000000,2000,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1100,8238,,,
001002,000000,2000,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1110,7056,,,
001002,000000,2000,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1125,165,,,
001002,000000,2000,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1150,141,,,
001002,000000,2000,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1160,876,,,
001002,000000,2000,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1400,8238,,7056,
001002,000000,2000,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1410,848,,848,
001002,000000,2000,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1413,172,,172,
001002,000000,2000,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1414,63,,63,
001002,000000,2000,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1416,613,,613,
001002,000000,2000,T,N,N,1,1,1,F,Alabama A&M University,Normal,AL,35762,1420,1700,,1600,
