fice,fice_combined,year,hbcu_flag,has_med_sch_flag,hhe_flag,toi_code,hdg_code,toc_code,pilot_fy09_flag,inst_name_long,inst_city,inst_state,inst_zip,line,data1,status1,data2,status2,data3,status3,data4,status4,data5,status5,data6,status6,data7,status7,data8,status8,data9,status9
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1100,51994,,,,,,,,,,,,,,,,,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1110,40430,,,,,,,,,,,,,,,,,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1125,6420,,,,,,,,,,,,,,,,,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1150,5135,,,,,,,,,,,,,,,,,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1160,9,,,,,,,,,,,,,,,,,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1400,51994,,40430,,0,,39,,3272,,37119,,0,,0,,0,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1450,51994,,40430,,0,,39,,3272,,37119,,0,,0,,0,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1453,51994,,40430,,0,,39,,3272,,37119,,0,,0,,0,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1600,5736,,5736,,,,,,,,,,,,,,,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1610,5736,,5736,,,,,,,,,,,,,,,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1800,642,,642,,,,,,,,,,,,,,,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1850,642,,642,,,,,,,,,,,,,,,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1853,642,,642,,,,,,,,,,,,,,,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1900,1449,,1449,,,,,,,,,,,,,,,
000166,000000,2004,F,N,F,1,1,2,F,C R Drew U of Med & Sci,Los Angeles,CA,90059,1910,1449,,1449,,,,,,,,,,,,,,,
001002,000000,2004,T,N,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1100,17429,,,,,,,,,,,,,,,,,
001002,000000,2004,T,N,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1110,12023,,,,,,,,,,,,,,,,,
001002,000000,2004,T,N,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1125,3208,,,,,,,,,,,,,,,,,
001002,000000,2004,T,N,F,1,1,1,F,Alabama A&M University,Normal,AL,35762,1150,15,,,,,,,,,,,,,,,,,
